Dimension,Power,Time (Seconds)
50,100,0.8065
50,100,0.795
50,100,0.790999
50,100,0.788
50,100,0.804499
50,100,0.8
50,100,0.810498
50,100,0.803998
50,100,0.7905
50,100,0.8625
50,100,0.800999
50,100,0.805499
50,100,0.7915
50,100,0.8015
50,100,0.805001
50,100,0.806498
50,100,0.8235
50,100,0.848499
50,100,0.818498
50,100,0.855497
50,100,0.830499
50,100,0.827999
50,100,0.8195
50,100,0.824495
50,100,0.837999
50,100,0.839498
50,100,0.834496
50,100,0.821
50,100,0.826003
50,100,0.842499
50,200,1.680999
50,200,1.639
50,200,1.680998
50,200,1.66
50,200,1.655999
50,200,1.678999
50,200,1.672498
50,200,1.645499
50,200,1.671997
50,200,1.628996
50,200,1.618999
50,200,1.643999
50,200,1.639501
50,200,1.682985
50,200,1.627
50,200,1.573503
50,200,1.572499
50,200,1.5795
50,200,1.595498
50,200,1.591999
50,200,1.5845
50,200,1.600998
50,200,1.5885
50,200,1.596502
50,200,1.593497
50,200,1.589
50,200,1.573
50,200,1.570501
50,200,1.565999
50,200,1.5835
50,300,2.398
50,300,2.4015
50,300,2.403499
50,300,2.3865
50,300,2.432
50,300,2.388001
50,300,2.375
50,300,2.377001
50,300,2.3975
50,300,2.391499
50,300,2.3845
50,300,2.5265
50,300,2.383
50,300,2.3665
50,300,2.395499
50,300,2.373
50,300,2.397997
50,300,2.380999
50,300,2.411496
50,300,2.380499
50,300,2.435502
50,300,2.394
50,300,2.3585
50,300,2.385
50,300,2.383499
50,300,2.387499
50,300,2.364499
50,300,2.366999
50,300,2.3465
50,300,2.371008
50,400,3.170499
50,400,3.1905
50,400,3.198499
50,400,3.203
50,400,3.160999
50,400,3.166502
50,400,3.203499
50,400,3.214999
50,400,3.222503
50,400,3.225
50,400,3.1695
50,400,3.2285
50,400,3.195999
50,400,3.258
50,400,3.691999
50,400,3.208001
50,400,3.183498
50,400,3.183999
50,400,3.2305
50,400,3.203
50,400,3.2135
50,400,3.2015
50,400,3.187001
50,400,3.221924
50,400,3.186498
50,400,3.190499
50,400,3.220999
50,400,3.215499
50,400,3.180499
50,400,3.202002
50,500,3.9755
50,500,3.971999
50,500,4.000995
50,500,4.009499
50,500,3.96
50,500,4.005001
50,500,3.993999
50,500,4.006999
50,500,4.008502
50,500,4.034501
50,500,3.989
50,500,4.019498
50,500,4.003498
50,500,4.018
50,500,3.998999
50,500,3.985999
50,500,4.007499
50,500,3.990499
50,500,4.098501
50,500,3.994999
50,500,3.940999
50,500,4.0195
50,500,3.962998
50,500,3.980499
50,500,3.95
50,500,3.960999
50,500,3.987
50,500,3.956
50,500,3.950498
50,500,3.993001
50,600,4.753999
50,600,4.6985
50,600,4.666998
50,600,4.673997
50,600,4.695997
50,600,4.631997
50,600,4.700497
50,600,4.826499
50,600,4.875997
50,600,4.839498
50,600,4.88657
50,600,4.962433
50,600,4.820497
50,600,4.813497
50,600,4.890998
50,600,4.927998
50,600,4.868997
50,600,4.867999
50,600,4.875997
50,600,4.873997
50,600,4.839497
50,600,4.819498
50,600,4.898998
50,600,4.819997
50,600,4.856998
50,600,4.852999
50,600,4.8505
50,600,4.815997
50,600,4.852568
50,600,4.803997
50,700,5.7485
50,700,5.649497
50,700,5.713499
50,700,5.743999
50,700,5.691497
50,700,5.6745
50,700,5.760498
50,700,5.433497
50,700,5.432998
50,700,5.425497
50,700,5.437499
50,700,5.419203
50,700,5.4255
50,700,5.440498
50,700,5.447497
50,700,5.4855
50,700,5.4795
50,700,5.503498
50,700,5.450001
50,700,5.4685
50,700,5.473499
50,700,5.489996
50,700,5.538999
50,700,5.439998
50,700,5.502497
50,700,5.4525
50,700,5.4555
50,700,5.410499
50,700,5.434
50,700,5.438
50,800,6.216498
50,800,6.230491
50,800,6.232499
50,800,6.196998
50,800,6.239999
50,800,6.2235
50,800,6.216999
