Dimension,Power,Type,Time (Seconds)
10,1000,Element wise,0.072669
10,1000,Element wise,0.064806
10,1000,Element wise,0.063165
10,1000,Element wise,0.063322
10,1000,Element wise,0.063391
10,1000,Element wise,0.063222
10,1000,Element wise,0.064724
10,1000,Element wise,0.068409
10,1000,Element wise,0.063374
10,1000,Element wise,0.063226
10,1000,Element wise,0.065179
10,1000,Element wise,0.063376
10,1000,Element wise,0.063452
10,1000,Element wise,0.064807
10,1000,Element wise,0.065045
10,1000,Element wise,0.064175
10,1000,Element wise,0.063186
10,1000,Element wise,0.063487
10,1000,Element wise,0.062949
10,1000,Element wise,0.062887
10,1000,Element wise,0.064594
10,1000,Element wise,0.062859
10,1000,Element wise,0.063095
10,1000,Element wise,0.063273
10,1000,Element wise,0.063594
10,1000,Element wise,0.064950
10,1000,Element wise,0.064299
10,1000,Element wise,0.063447
10,1000,Element wise,0.063497
10,1000,Element wise,0.063415
10,1000,Row wise,0.069857
10,1000,Row wise,0.072976
10,1000,Row wise,0.068958
10,1000,Row wise,0.069081
10,1000,Row wise,0.074174
10,1000,Row wise,0.070388
10,1000,Row wise,0.069612
10,1000,Row wise,0.069556
10,1000,Row wise,0.068945
10,1000,Row wise,0.069515
10,1000,Row wise,0.068933
10,1000,Row wise,0.069409
10,1000,Row wise,0.069194
10,1000,Row wise,0.069175
10,1000,Row wise,0.068737
10,1000,Row wise,0.068828
10,1000,Row wise,0.069213
10,1000,Row wise,0.068672
10,1000,Row wise,0.068935
10,1000,Row wise,0.069095
10,1000,Row wise,0.069540
10,1000,Row wise,0.069710
10,1000,Row wise,0.069362
10,1000,Row wise,0.070014
10,1000,Row wise,0.069275
10,1000,Row wise,0.070309
10,1000,Row wise,0.068646
10,1000,Row wise,0.068719
10,1000,Row wise,0.069279
10,1000,Row wise,0.068272
10,1000,Column wise,0.071104
10,1000,Column wise,0.069630
10,1000,Column wise,0.076414
10,1000,Column wise,0.098676
10,1000,Column wise,0.089431
10,1000,Column wise,0.102729
10,1000,Column wise,0.093228
10,1000,Column wise,0.085784
10,1000,Column wise,0.075941
10,1000,Column wise,0.079648
10,1000,Column wise,0.076680
10,1000,Column wise,0.096542
10,1000,Column wise,0.089342
10,1000,Column wise,0.074030
10,1000,Column wise,0.077069
10,1000,Column wise,0.070406
10,1000,Column wise,0.069419
10,1000,Column wise,0.069374
10,1000,Column wise,0.072083
10,1000,Column wise,0.066792
10,1000,Column wise,0.070684
10,1000,Column wise,0.069167
10,1000,Column wise,0.069599
10,1000,Column wise,0.068622
10,1000,Column wise,0.070006
10,1000,Column wise,0.065538
10,1000,Column wise,0.065224
10,1000,Column wise,0.066405
10,1000,Column wise,0.065396
10,1000,Column wise,0.064929
20,1000,Element wise,0.105131
20,1000,Element wise,0.110968
20,1000,Element wise,0.114662
20,1000,Element wise,0.110673
20,1000,Element wise,0.128905
20,1000,Element wise,0.104856
20,1000,Element wise,0.104424
20,1000,Element wise,0.105381
20,1000,Element wise,0.101735
20,1000,Element wise,0.102375
20,1000,Element wise,0.103488
20,1000,Element wise,0.102885
20,1000,Element wise,0.104098
20,1000,Element wise,0.102522
20,1000,Element wise,0.103688
20,1000,Element wise,0.105649
20,1000,Element wise,0.107114
20,1000,Element wise,0.102021
20,1000,Element wise,0.103238
20,1000,Element wise,0.101171
20,1000,Element wise,0.102316
20,1000,Element wise,0.104287
20,1000,Element wise,0.106299
20,1000,Element wise,0.105413
20,1000,Element wise,0.105910
20,1000,Element wise,0.106292
20,1000,Element wise,0.105091
20,1000,Element wise,0.105788
20,1000,Element wise,0.107397
20,1000,Element wise,0.106051
20,1000,Row wise,0.123240
20,1000,Row wise,0.126779
20,1000,Row wise,0.117984
20,1000,Row wise,0.117518
20,1000,Row wise,0.117488
20,1000,Row wise,0.119066
20,1000,Row wise,0.117662
20,1000,Row wise,0.117700
20,1000,Row wise,0.119250
20,1000,Row wise,0.118204
20,1000,Row wise,0.117902
20,1000,Row wise,0.117734
20,1000,Row wise,0.117415
20,1000,Row wise,0.117107
20,1000,Row wise,0.117689
20,1000,Row wise,0.117873
20,1000,Row wise,0.118351
20,1000,Row wise,0.117054
20,1000,Row wise,0.118287
20,1000,Row wise,0.119183
20,1000,Row wise,0.117789
20,1000,Row wise,0.117471
20,1000,Row wise,0.116983
20,1000,Row wise,0.118953
20,1000,Row wise,0.117908
20,1000,Row wise,0.119008
20,1000,Row wise,0.126847
20,1000,Row wise,0.119352
20,1000,Row wise,0.117358
20,1000,Row wise,0.117814
20,1000,Column wise,0.123476
20,1000,Column wise,0.123929
20,1000,Column wise,0.124055
20,1000,Column wise,0.126561
20,1000,Column wise,0.124215
20,1000,Column wise,0.123635
20,1000,Column wise,0.123663
20,1000,Column wise,0.123942
20,1000,Column wise,0.123988
20,1000,Column wise,0.123759
20,1000,Column wise,0.123591
20,1000,Column wise,0.124383
20,1000,Column wise,0.123892
20,1000,Column wise,0.123508
20,1000,Column wise,0.125337
20,1000,Column wise,0.125112
20,1000,Column wise,0.124075
20,1000,Column wise,0.125506
20,1000,Column wise,0.126002
20,1000,Column wise,0.123576
20,1000,Column wise,0.125450
20,1000,Column wise,0.124220
20,1000,Column wise,0.123848
20,1000,Column wise,0.124499
20,1000,Column wise,0.124348
20,1000,Column wise,0.126260
20,1000,Column wise,0.134583
20,1000,Column wise,0.127083
20,1000,Column wise,0.126042
20,1000,Column wise,0.123482
30,1000,Element wise,0.118644
30,1000,Element wise,0.119727
30,1000,Element wise,0.118626
30,1000,Element wise,0.118629
30,1000,Element wise,0.120476
30,1000,Element wise,0.119337
30,1000,Element wise,0.118315
30,1000,Element wise,0.118810
30,1000,Element wise,0.118751
30,1000,Element wise,0.118917
30,1000,Element wise,0.119647
30,1000,Element wise,0.118751
30,1000,Element wise,0.125992
30,1000,Element wise,0.118608
30,1000,Element wise,0.118744
30,1000,Element wise,0.118305
30,1000,Element wise,0.118587
30,1000,Element wise,0.118737
30,1000,Element wise,0.118265
30,1000,Element wise,0.121578
30,1000,Element wise,0.119017
30,1000,Element wise,0.118295
30,1000,Element wise,0.119293
30,1000,Element wise,0.118549
30,1000,Element wise,0.122685
30,1000,Element wise,0.118687
30,1000,Element wise,0.118595
30,1000,Element wise,0.120046
30,1000,Element wise,0.118793
30,1000,Element wise,0.119845
30,1000,Row wise,0.161047
30,1000,Row wise,0.161314
30,1000,Row wise,0.161156
30,1000,Row wise,0.161184
30,1000,Row wise,0.159376
30,1000,Row wise,0.160969
30,1000,Row wise,0.160252
30,1000,Row wise,0.159897
30,1000,Row wise,0.159736
30,1000,Row wise,0.160560
30,1000,Row wise,0.159738
30,1000,Row wise,0.159569
30,1000,Row wise,0.159788
30,1000,Row wise,0.160066
30,1000,Row wise,0.159701
30,1000,Row wise,0.161357
30,1000,Row wise,0.159445
30,1000,Row wise,0.162362
30,1000,Row wise,0.161681
30,1000,Row wise,0.159533
30,1000,Row wise,0.162972
30,1000,Row wise,0.162557
30,1000,Row wise,0.159459
30,1000,Row wise,0.159774
30,1000,Row wise,0.162887
30,1000,Row wise,0.161451
30,1000,Row wise,0.165141
30,1000,Row wise,0.161645
30,1000,Row wise,0.159803
30,1000,Row wise,0.159673
30,1000,Column wise,0.165660
30,1000,Column wise,0.164052
30,1000,Column wise,0.166125
30,1000,Column wise,0.169797
30,1000,Column wise,0.185123
30,1000,Column wise,0.170446
30,1000,Column wise,0.163649
30,1000,Column wise,0.163671
30,1000,Column wise,0.163385
30,1000,Column wise,0.163459
30,1000,Column wise,0.163258
30,1000,Column wise,0.163568
30,1000,Column wise,0.163706
30,1000,Column wise,0.163519
30,1000,Column wise,0.164064
30,1000,Column wise,0.164900
30,1000,Column wise,0.163709
30,1000,Column wise,0.164931
30,1000,Column wise,0.163217
30,1000,Column wise,0.163335
30,1000,Column wise,0.163133
30,1000,Column wise,0.164887
30,1000,Column wise,0.163319
30,1000,Column wise,0.165196
30,1000,Column wise,0.163378
30,1000,Column wise,0.163352
30,1000,Column wise,0.163864
30,1000,Column wise,0.163167
30,1000,Column wise,0.164577
30,1000,Column wise,0.164999
40,1000,Element wise,0.149881
40,1000,Element wise,0.157882
40,1000,Element wise,0.158026
40,1000,Element wise,0.155779
40,1000,Element wise,0.150297
40,1000,Element wise,0.146517
40,1000,Element wise,0.147028
40,1000,Element wise,0.147238
40,1000,Element wise,0.145339
40,1000,Element wise,0.147490
40,1000,Element wise,0.145244
40,1000,Element wise,0.146645
40,1000,Element wise,0.146440
40,1000,Element wise,0.145287
40,1000,Element wise,0.146310
40,1000,Element wise,0.145425
40,1000,Element wise,0.146131
40,1000,Element wise,0.146935
40,1000,Element wise,0.146637
40,1000,Element wise,0.146444
40,1000,Element wise,0.146986
40,1000,Element wise,0.151458
40,1000,Element wise,0.147673
40,1000,Element wise,0.147177
40,1000,Element wise,0.147461
40,1000,Element wise,0.156928
40,1000,Element wise,0.147937
40,1000,Element wise,0.148684
40,1000,Element wise,0.148392
40,1000,Element wise,0.147242
40,1000,Row wise,0.213778
40,1000,Row wise,0.216514
40,1000,Row wise,0.213435
40,1000,Row wise,0.216944
40,1000,Row wise,0.220815
40,1000,Row wise,0.214054
40,1000,Row wise,0.215011
