Dimension,Power,Type,Time (Seconds)
50,100,Element wise,0.026822
50,100,Element wise,0.017710
50,100,Element wise,0.017976
50,100,Element wise,0.017669
50,100,Element wise,0.018046
50,100,Element wise,0.018077
50,100,Element wise,0.018051
50,100,Element wise,0.017534
50,100,Element wise,0.017998
50,100,Element wise,0.017666
50,100,Element wise,0.017927
50,100,Element wise,0.017513
50,100,Element wise,0.018028
50,100,Element wise,0.020475
50,100,Element wise,0.018017
50,100,Element wise,0.017617
50,100,Element wise,0.017980
50,100,Element wise,0.017612
50,100,Element wise,0.017888
50,100,Element wise,0.018031
50,100,Element wise,0.017944
50,100,Element wise,0.017972
50,100,Element wise,0.018129
50,100,Element wise,0.017542
50,100,Element wise,0.017916
50,100,Element wise,0.017584
50,100,Element wise,0.018145
50,100,Element wise,0.017591
50,100,Element wise,0.017646
50,100,Element wise,0.017666
50,100,Row wise,0.030931
50,100,Row wise,0.030446
50,100,Row wise,0.030455
50,100,Row wise,0.030046
50,100,Row wise,0.030071
50,100,Row wise,0.028076
50,100,Row wise,0.027616
50,100,Row wise,0.027647
50,100,Row wise,0.027705
50,100,Row wise,0.028020
50,100,Row wise,0.027973
50,100,Row wise,0.027675
50,100,Row wise,0.027793
50,100,Row wise,0.027746
50,100,Row wise,0.027740
50,100,Row wise,0.027647
50,100,Row wise,0.027905
50,100,Row wise,0.028036
50,100,Row wise,0.027893
50,100,Row wise,0.027658
50,100,Row wise,0.027679
50,100,Row wise,0.027831
50,100,Row wise,0.027680
50,100,Row wise,0.028075
50,100,Row wise,0.028017
50,100,Row wise,0.027641
50,100,Row wise,0.027653
50,100,Row wise,0.027728
50,100,Row wise,0.027837
50,100,Row wise,0.027975
50,100,Column wise,0.029304
50,100,Column wise,0.029150
50,100,Column wise,0.029282
50,100,Column wise,0.029195
50,100,Column wise,0.029241
50,100,Column wise,0.029314
50,100,Column wise,0.029112
50,100,Column wise,0.029408
50,100,Column wise,0.029150
50,100,Column wise,0.029192
50,100,Column wise,0.029261
50,100,Column wise,0.029183
50,100,Column wise,0.029724
50,100,Column wise,0.029037
50,100,Column wise,0.028827
50,100,Column wise,0.028866
50,100,Column wise,0.028833
50,100,Column wise,0.028803
50,100,Column wise,0.028903
50,100,Column wise,0.028875
50,100,Column wise,0.028961
50,100,Column wise,0.028880
50,100,Column wise,0.028891
50,100,Column wise,0.029095
50,100,Column wise,0.028821
50,100,Column wise,0.028926
50,100,Column wise,0.028875
50,100,Column wise,0.028863
50,100,Column wise,0.028794
50,100,Column wise,0.028792
50,200,Element wise,0.032687
50,200,Element wise,0.032824
50,200,Element wise,0.032552
50,200,Element wise,0.033159
50,200,Element wise,0.032608
50,200,Element wise,0.032878
50,200,Element wise,0.032628
50,200,Element wise,0.032837
50,200,Element wise,0.032632
50,200,Element wise,0.032460
50,200,Element wise,0.033298
50,200,Element wise,0.032678
50,200,Element wise,0.032770
50,200,Element wise,0.033417
50,200,Element wise,0.033075
50,200,Element wise,0.033357
50,200,Element wise,0.033672
50,200,Element wise,0.033260
50,200,Element wise,0.033112
50,200,Element wise,0.033748
50,200,Element wise,0.032911
50,200,Element wise,0.032677
50,200,Element wise,0.033046
50,200,Element wise,0.032655
