Dimension,Power,Time (Seconds)
10,1000,0.006773
10,1000,0.003713
10,1000,0.003511
10,1000,0.003532
10,1000,0.003512
10,1000,0.003557
10,1000,0.003534
10,1000,0.003668
10,1000,0.003519
10,1000,0.003550
10,1000,0.003467
10,1000,0.003466
10,1000,0.003453
10,1000,0.003482
10,1000,0.003529
10,1000,0.003545
10,1000,0.003516
10,1000,0.003592
10,1000,0.003523
10,1000,0.003538
10,1000,0.003495
10,1000,0.003365
10,1000,0.003582
10,1000,0.003731
10,1000,0.003696
10,1000,0.003630
10,1000,0.003520
10,1000,0.003541
10,1000,0.003530
10,1000,0.003534
20,1000,0.027205
20,1000,0.026785
20,1000,0.026791
20,1000,0.026776
20,1000,0.026800
20,1000,0.026728
20,1000,0.026845
20,1000,0.026562
20,1000,0.026836
20,1000,0.026816
20,1000,0.026337
20,1000,0.026941
20,1000,0.026986
20,1000,0.027740
20,1000,0.027345
20,1000,0.026825
20,1000,0.026829
20,1000,0.026857
20,1000,0.026918
20,1000,0.026876
20,1000,0.026955
20,1000,0.027013
20,1000,0.026831
20,1000,0.026805
20,1000,0.026775
20,1000,0.026870
20,1000,0.026947
20,1000,0.027084
20,1000,0.026849
20,1000,0.027067
30,1000,0.089186
30,1000,0.089016
30,1000,0.088921
30,1000,0.088937
30,1000,0.089609
30,1000,0.089134
30,1000,0.088633
30,1000,0.089161
30,1000,0.088196
30,1000,0.089316
30,1000,0.089505
30,1000,0.089295
30,1000,0.091585
30,1000,0.089012
30,1000,0.088870
30,1000,0.087552
30,1000,0.088971
30,1000,0.088955
30,1000,0.088889
30,1000,0.088924
30,1000,0.088922
30,1000,0.087935
30,1000,0.088864
30,1000,0.088905
30,1000,0.088920
30,1000,0.088882
30,1000,0.088188
30,1000,0.088904
30,1000,0.088860
30,1000,0.088890
40,1000,0.207185
40,1000,0.211151
40,1000,0.209316
40,1000,0.209385
40,1000,0.209194
40,1000,0.209815
40,1000,0.211075
40,1000,0.208954
40,1000,0.210359
40,1000,0.209647
40,1000,0.210306
40,1000,0.209467
40,1000,0.209541
40,1000,0.209863
40,1000,0.209650
40,1000,0.208977
40,1000,0.208911
40,1000,0.209619
40,1000,0.209612
40,1000,0.209260
40,1000,0.209501
40,1000,0.207040
40,1000,0.209585
40,1000,0.206071
40,1000,0.209326
40,1000,0.209213
40,1000,0.208479
40,1000,0.210795
40,1000,0.209240
40,1000,0.209136
50,1000,0.411259
50,1000,0.411118
50,1000,0.410053
50,1000,0.411231
50,1000,0.411174
50,1000,0.411092
50,1000,0.412567
50,1000,0.409150
50,1000,0.413987
50,1000,0.418606
50,1000,0.419518
50,1000,0.415948
50,1000,0.422301
50,1000,0.412061
50,1000,0.429420
50,1000,0.428874
50,1000,0.416186
50,1000,0.413854
50,1000,0.414587
50,1000,0.415400
50,1000,0.441334
50,1000,0.430216
50,1000,0.416273
50,1000,0.424521
50,1000,0.421267
50,1000,0.414457
50,1000,0.413871
50,1000,0.415687
50,1000,0.425993
50,1000,0.412413
60,1000,0.724020
60,1000,0.731353
60,1000,0.728983
60,1000,0.717932
60,1000,0.716127
60,1000,0.716144
60,1000,0.711113
60,1000,0.712432
60,1000,0.719629
60,1000,0.718066
60,1000,0.714614
60,1000,0.712071
60,1000,0.727986
60,1000,0.719413
60,1000,0.723331
60,1000,0.711121
60,1000,0.709195
60,1000,0.713834
60,1000,0.706358
60,1000,0.702930
60,1000,0.707124
60,1000,0.707516
60,1000,0.710361
60,1000,0.717344
60,1000,0.704431
60,1000,0.716402
60,1000,0.710714
60,1000,0.715351
60,1000,0.720615
60,1000,0.715002
70,1000,1.150992
70,1000,1.155310
70,1000,1.142354
70,1000,1.140016
70,1000,1.146746
70,1000,1.144414
70,1000,1.158991
70,1000,1.159458
70,1000,1.159983
70,1000,1.145315
70,1000,1.173032
70,1000,1.137979
70,1000,1.142949
70,1000,1.140489
70,1000,1.141872
70,1000,1.143054
70,1000,1.142754
70,1000,1.140089
70,1000,1.142966
70,1000,1.139378
70,1000,1.144626
70,1000,1.141903
70,1000,1.157734
70,1000,1.152601
70,1000,1.164967
70,1000,1.156908
70,1000,1.143827
70,1000,1.144084
70,1000,1.151477
70,1000,1.162348
80,1000,1.681802
80,1000,1.678698
80,1000,1.675143
80,1000,1.691122
80,1000,1.674550
80,1000,1.674791
80,1000,1.671713
80,1000,1.671048
80,1000,1.672023
80,1000,1.680265
80,1000,1.673425
80,1000,1.675872
80,1000,1.669101
80,1000,1.672581
80,1000,1.667634
80,1000,1.680777
80,1000,1.675188
80,1000,1.676516
80,1000,1.668254
80,1000,1.729531
80,1000,1.713978
80,1000,1.705214
80,1000,1.694392
80,1000,1.683205
80,1000,1.663894
80,1000,1.677178
80,1000,1.680166
80,1000,1.721631
80,1000,1.695098
80,1000,1.672248
90,1000,2.417236
90,1000,2.417611
90,1000,2.418169
90,1000,2.417548
90,1000,2.417765
90,1000,2.416338
90,1000,2.412756
90,1000,2.415686
90,1000,2.413405
90,1000,2.411415
90,1000,2.415336
90,1000,2.412940
90,1000,2.416183
90,1000,2.418686
90,1000,2.419961
90,1000,2.406216
90,1000,2.422501
90,1000,2.419210
90,1000,2.416373
90,1000,2.413006
90,1000,2.416936
90,1000,2.416458
90,1000,2.411846
90,1000,2.413634
90,1000,2.418400
90,1000,2.418960
90,1000,2.412895
90,1000,2.420017
90,1000,2.418257
90,1000,2.427627
100,1000,3.298428
100,1000,3.305855
100,1000,3.307311
100,1000,3.298431
100,1000,3.309289
100,1000,3.302917
100,1000,3.304097
100,1000,3.303049
100,1000,3.307864
100,1000,3.297796
100,1000,3.299938
100,1000,3.304764
100,1000,3.308514
100,1000,3.301014
100,1000,3.309596
