Dimension,Power,Time (Seconds)
10,1000,0.103509
10,1000,0.081542
10,1000,0.078443
10,1000,0.079270
10,1000,0.078640
10,1000,0.077769
10,1000,0.078406
10,1000,0.077915
10,1000,0.077742
10,1000,0.079142
10,1000,0.079516
10,1000,0.078469
10,1000,0.079496
10,1000,0.077995
10,1000,0.077883
10,1000,0.078448
10,1000,0.077456
10,1000,0.078786
10,1000,0.080546
10,1000,0.079336
10,1000,0.078227
10,1000,0.078318
10,1000,0.077894
10,1000,0.078053
10,1000,0.078796
10,1000,0.077656
10,1000,0.080583
10,1000,0.077733
10,1000,0.077693
10,1000,0.080583
20,1000,0.128047
20,1000,0.129868
20,1000,0.125195
20,1000,0.125019
20,1000,0.121729
20,1000,0.122556
20,1000,0.121098
20,1000,0.123174
20,1000,0.120646
20,1000,0.122976
20,1000,0.121260
20,1000,0.122511
20,1000,0.121421
20,1000,0.122347
20,1000,0.121078
20,1000,0.122815
20,1000,0.121451
20,1000,0.122440
20,1000,0.121436
20,1000,0.122768
20,1000,0.121405
20,1000,0.122082
20,1000,0.121088
20,1000,0.123432
20,1000,0.120697
20,1000,0.123043
20,1000,0.121288
20,1000,0.122756
20,1000,0.121104
20,1000,0.123049
30,1000,0.158076
30,1000,0.157211
30,1000,0.154622
30,1000,0.157220
30,1000,0.154073
30,1000,0.159268
30,1000,0.155170
30,1000,0.155527
30,1000,0.153168
30,1000,0.156591
30,1000,0.153109
30,1000,0.155186
30,1000,0.153035
30,1000,0.155979
30,1000,0.153302
30,1000,0.158877
30,1000,0.156351
30,1000,0.155945
30,1000,0.154652
30,1000,0.155654
30,1000,0.154312
30,1000,0.155224
30,1000,0.156743
30,1000,0.156054
30,1000,0.153243
30,1000,0.155656
30,1000,0.153945
30,1000,0.155582
30,1000,0.154015
30,1000,0.156190
40,1000,0.182709
40,1000,0.179858
40,1000,0.178424
40,1000,0.176571
40,1000,0.178117
40,1000,0.173879
40,1000,0.178653
40,1000,0.176093
40,1000,0.179895
40,1000,0.177469
40,1000,0.178050
40,1000,0.184326
40,1000,0.180027
40,1000,0.176245
40,1000,0.177934
40,1000,0.177994
40,1000,0.182732
40,1000,0.178507
40,1000,0.179739
40,1000,0.179016
40,1000,0.177858
40,1000,0.175119
40,1000,0.183134
40,1000,0.182801
40,1000,0.178517
40,1000,0.183454
40,1000,0.177507
40,1000,0.178408
40,1000,0.177334
40,1000,0.180455
50,1000,0.210733
50,1000,0.206331
50,1000,0.205739
50,1000,0.209622
50,1000,0.205870
50,1000,0.205018
50,1000,0.206254
50,1000,0.205685
50,1000,0.206695
50,1000,0.206277
50,1000,0.204527
50,1000,0.206183
50,1000,0.207120
50,1000,0.204778
50,1000,0.205000
50,1000,0.204914
50,1000,0.206957
50,1000,0.207722
50,1000,0.204834
50,1000,0.204937
50,1000,0.205546
50,1000,0.205412
50,1000,0.205007
50,1000,0.205249
50,1000,0.211913
50,1000,0.206089
50,1000,0.210067
50,1000,0.205348
50,1000,0.205087
50,1000,0.205445
60,1000,0.248771
60,1000,0.249130
60,1000,0.259996
60,1000,0.248196
60,1000,0.248613
60,1000,0.249081
60,1000,0.248247
60,1000,0.248271
60,1000,0.253226
60,1000,0.249570
60,1000,0.247831
60,1000,0.247743
60,1000,0.248398
60,1000,0.249170
60,1000,0.248072
60,1000,0.247693
60,1000,0.248545
60,1000,0.254393
60,1000,0.250522
60,1000,0.248759
60,1000,0.249947
60,1000,0.257377
60,1000,0.249326
60,1000,0.250686
60,1000,0.251472
60,1000,0.248107
60,1000,0.250972
60,1000,0.252401
60,1000,0.249815
60,1000,0.256843
70,1000,0.288675
70,1000,0.283530
70,1000,0.282256
70,1000,0.281172
70,1000,0.284979
70,1000,0.282115
70,1000,0.282500
70,1000,0.281341
70,1000,0.281863
70,1000,0.280985
70,1000,0.283898
70,1000,0.282117
70,1000,0.282208
70,1000,0.281354
70,1000,0.282739
70,1000,0.281342
70,1000,0.285771
70,1000,0.282896
70,1000,0.283175
70,1000,0.291375
70,1000,0.284377
70,1000,0.285902
70,1000,0.281113
70,1000,0.280790
70,1000,0.286400
70,1000,0.282492
70,1000,0.280483
70,1000,0.282509
70,1000,0.281902
70,1000,0.282367
80,1000,0.313087
80,1000,0.314976
80,1000,0.312746
80,1000,0.313181
80,1000,0.313221
80,1000,0.312685
80,1000,0.314268
80,1000,0.313399
80,1000,0.313437
80,1000,0.313961
80,1000,0.321680
80,1000,0.315510
80,1000,0.313291
80,1000,0.316818
80,1000,0.313896
80,1000,0.321353
80,1000,0.313376
80,1000,0.312648
80,1000,0.316892
80,1000,0.313636
80,1000,0.313123
80,1000,0.315012
80,1000,0.314749
80,1000,0.314971
80,1000,0.317370
80,1000,0.315042
80,1000,0.319800
80,1000,0.315169
80,1000,0.334552
80,1000,0.347074
90,1000,0.391590
90,1000,0.386515
90,1000,0.380934
90,1000,0.392880
90,1000,0.381522
90,1000,0.356000
90,1000,0.361422
90,1000,0.351415
90,1000,0.350879
90,1000,0.356635
90,1000,0.351954
90,1000,0.352998
90,1000,0.352352
90,1000,0.356210
90,1000,0.362945
90,1000,0.361990
90,1000,0.359301
90,1000,0.357887
90,1000,0.355648
90,1000,0.356747
90,1000,0.360145
90,1000,0.356900
90,1000,0.351924
90,1000,0.359109
90,1000,0.355954
90,1000,0.361069
90,1000,0.351582
90,1000,0.353336
90,1000,0.359176
90,1000,0.356477
100,1000,0.389758
100,1000,0.385302
100,1000,0.387121
100,1000,0.386258
100,1000,0.385450
100,1000,0.384847
100,1000,0.389067
100,1000,0.388550
100,1000,0.385884
100,1000,0.384439
100,1000,0.384686
100,1000,0.387637
100,1000,0.393625
100,1000,0.389194
100,1000,0.397581
100,1000,0.388558
100,1000,0.389314
100,1000,0.390539
100,1000,0.390806
100,1000,0.387306
100,1000,0.391774
100,1000,0.388400
100,1000,0.386394
100,1000,0.387866
100,1000,0.386840
100,1000,0.386805
100,1000,0.388783
100,1000,0.384433
100,1000,0.387708
100,1000,0.386636
200,1000,0.847930
200,1000,0.847066
