Dimension,Power,Time (Seconds)
50,100,0.022616
50,100,0.022814
50,100,0.022805
50,100,0.022606
50,100,0.022790
50,100,0.021952
50,100,0.024304
50,100,0.022742
50,100,0.023245
50,100,0.022525
50,100,0.022405
50,100,0.022743
50,100,0.024137
50,100,0.023623
50,100,0.022863
50,100,0.021893
50,100,0.022148
50,100,0.021962
50,100,0.024868
50,100,0.022917
50,100,0.022194
50,100,0.022869
50,100,0.022584
50,100,0.022790
50,100,0.024077
50,100,0.023602
50,100,0.023203
50,100,0.022643
50,100,0.022052
50,100,0.021670
50,200,0.047791
50,200,0.044248
50,200,0.045652
50,200,0.044700
50,200,0.045757
50,200,0.044187
50,200,0.044466
50,200,0.046423
50,200,0.043998
50,200,0.044809
50,200,0.045137
50,200,0.045635
50,200,0.044717
50,200,0.045614
50,200,0.045643
50,200,0.044405
50,200,0.046805
50,200,0.044313
50,200,0.045202
50,200,0.044461
50,200,0.046471
50,200,0.044695
50,200,0.045692
50,200,0.046303
50,200,0.045345
50,200,0.044182
50,200,0.045430
50,200,0.044855
50,200,0.045605
50,200,0.044508
50,300,0.066831
50,300,0.070254
50,300,0.067058
50,300,0.066860
50,300,0.068469
50,300,0.066644
50,300,0.066972
50,300,0.067555
50,300,0.067855
50,300,0.066600
50,300,0.067363
50,300,0.067738
50,300,0.066895
50,300,0.067690
50,300,0.068175
50,300,0.066695
50,300,0.067094
50,300,0.068583
50,300,0.067003
50,300,0.067728
50,300,0.067091
50,300,0.066741
50,300,0.070110
50,300,0.067150
50,300,0.066532
50,300,0.068383
50,300,0.066426
50,300,0.066264
50,300,0.068117
50,300,0.067399
50,400,0.088513
50,400,0.091920
50,400,0.089542
50,400,0.090132
50,400,0.091784
50,400,0.089654
50,400,0.091943
50,400,0.089888
50,400,0.091413
50,400,0.088848
50,400,0.088934
50,400,0.091465
50,400,0.089008
50,400,0.090403
50,400,0.091849
50,400,0.089660
50,400,0.089968
50,400,0.092718
50,400,0.089801
50,400,0.088707
50,400,0.091732
50,400,0.088929
50,400,0.088426
50,400,0.092103
50,400,0.089561
50,400,0.089152
50,400,0.091074
50,400,0.089465
50,400,0.091045
50,400,0.089741
50,500,0.111811
50,500,0.114102
50,500,0.114175
50,500,0.111441
50,500,0.113128
50,500,0.112633
50,500,0.112802
50,500,0.110084
50,500,0.111944
50,500,0.112148
50,500,0.114528
50,500,0.111425
50,500,0.110810
50,500,0.110608
50,500,0.110529
50,500,0.109074
50,500,0.112876
50,500,0.110062
50,500,0.112950
50,500,0.109510
50,500,0.112862
50,500,0.109693
50,500,0.110964
50,500,0.111618
50,500,0.111672
50,500,0.109167
50,500,0.111655
50,500,0.111219
50,500,0.110588
50,500,0.110462
50,600,0.133791
50,600,0.131855
50,600,0.133548
50,600,0.133181
50,600,0.134754
50,600,0.131885
50,600,0.133203
50,600,0.131918
50,600,0.133193
50,600,0.131652
50,600,0.134681
50,600,0.131332
50,600,0.134205
50,600,0.132859
50,600,0.135206
50,600,0.133858
50,600,0.135501
50,600,0.136116
50,600,0.135201
50,600,0.133135
50,600,0.134011
50,600,0.132239
50,600,0.134548
50,600,0.131794
50,600,0.135217
50,600,0.132088
50,600,0.134021
50,600,0.132449
50,600,0.134682
50,600,0.133018
50,700,0.155792
50,700,0.157032
50,700,0.158816
50,700,0.156261
50,700,0.155192
50,700,0.153838
50,700,0.155826
50,700,0.157155
50,700,0.156894
50,700,0.158028
50,700,0.156518
50,700,0.155476
50,700,0.157496
50,700,0.156211
50,700,0.157037
50,700,0.155850
50,700,0.155515
50,700,0.153931
50,700,0.158559
50,700,0.155241
50,700,0.158957
50,700,0.156692
50,700,0.158646
50,700,0.156819
50,700,0.157967
50,700,0.156915
50,700,0.159554
50,700,0.155489
50,700,0.158738
50,700,0.156642
50,800,0.182991
50,800,0.178993
50,800,0.181240
50,800,0.178450
50,800,0.180379
50,800,0.181546
50,800,0.179053
50,800,0.180648
50,800,0.179621
50,800,0.182246
50,800,0.180310
50,800,0.180882
50,800,0.179275
50,800,0.181000
50,800,0.180239
50,800,0.181457
50,800,0.180452
50,800,0.181152
50,800,0.180324
50,800,0.182074
50,800,0.180161
50,800,0.182264
50,800,0.179752
50,800,0.180870
50,800,0.180674
50,800,0.182176
50,800,0.180847
50,800,0.181540
50,800,0.179487
50,800,0.181738
50,900,0.199376
50,900,0.204363
50,900,0.202111
50,900,0.201896
50,900,0.202585
50,900,0.201865
50,900,0.205337
50,900,0.203450
50,900,0.202119
50,900,0.200316
50,900,0.202256
50,900,0.201761
50,900,0.201842
50,900,0.199878
50,900,0.199499
50,900,0.200399
50,900,0.201120
50,900,0.201775
50,900,0.199345
50,900,0.199189
50,900,0.199884
50,900,0.202000
50,900,0.199811
50,900,0.198916
50,900,0.201308
50,900,0.200691
50,900,0.199592
50,900,0.200186
50,900,0.200232
50,900,0.200522
50,1000,0.222907
50,1000,0.222130
50,1000,0.221436
50,1000,0.221612
50,1000,0.221931
50,1000,0.223324
50,1000,0.221630
50,1000,0.222742
50,1000,0.221891
50,1000,0.225060
50,1000,0.222804
50,1000,0.222764
50,1000,0.221174
50,1000,0.222327
50,1000,0.223231
50,1000,0.224059
50,1000,0.223387
50,1000,0.223550
50,1000,0.224063
50,1000,0.224963
50,1000,0.223959
50,1000,0.223827
50,1000,0.225460
50,1000,0.223711
50,1000,0.225150
50,1000,0.225163
50,1000,0.225031
50,1000,0.224536
50,1000,0.221679
50,1000,0.225763
50,2000,0.448550
50,2000,0.447502
50,2000,0.449478
50,2000,0.450122
50,2000,0.446819
50,2000,0.447299
50,2000,0.451225
50,2000,0.447443
50,2000,0.453678
50,2000,0.450002
50,2000,0.445356
50,2000,0.449242
50,2000,0.445707
50,2000,0.450546
50,2000,0.447765
50,2000,0.449523
50,2000,0.447648
50,2000,0.444075
50,2000,0.444603
50,2000,0.443836
50,2000,0.441443
50,2000,0.442915
50,2000,0.440289
50,2000,0.441838
50,2000,0.438500
50,2000,0.444120
50,2000,0.449450
50,2000,0.448397
50,2000,0.499206
50,2000,0.521428
50,3000,0.681361
50,3000,0.683080
50,3000,0.678749
50,3000,0.675222
50,3000,0.669507
50,3000,0.670596
50,3000,0.665529
50,3000,0.663839
50,3000,0.664379
50,3000,0.663483
50,3000,0.664483
50,3000,0.664072
50,3000,0.663560
50,3000,0.662793
50,3000,0.661193
50,3000,0.675040
50,3000,0.671016
50,3000,0.711771
50,3000,0.701827
50,3000,0.706625
50,3000,0.726601
50,3000,0.707068
50,3000,0.710706
50,3000,0.677383
50,3000,0.666717
50,3000,0.686943
50,3000,0.732082
50,3000,0.723533
50,3000,0.719784
50,3000,0.727679
