Dimension,Power,Time (Seconds)
10,1000,0.0695
10,1000,0.07
10,1000,0.0695
10,1000,0.07
10,1000,0.07
10,1000,0.07
10,1000,0.07
10,1000,0.0705
10,1000,0.07
10,1000,0.07
10,1000,0.069
10,1000,0.0695
10,1000,0.0695
10,1000,0.0705
10,1000,0.07
10,1000,0.07
10,1000,0.07
10,1000,0.07
10,1000,0.070001
10,1000,0.070499
10,1000,0.07
10,1000,0.07
10,1000,0.07
10,1000,0.07
10,1000,0.07
10,1000,0.069
10,1000,0.0695
10,1000,0.0705
10,1000,0.07
10,1000,0.0705
20,1000,0.525
20,1000,0.5185
20,1000,0.526
20,1000,0.5165
20,1000,0.526
20,1000,0.519
20,1000,0.527
20,1000,0.524001
20,1000,0.524999
20,1000,0.516
20,1000,0.526
20,1000,0.515
20,1000,0.5245
20,1000,0.517503
20,1000,0.519997
20,1000,0.523
20,1000,0.526
20,1000,0.5225
20,1000,0.522702
20,1000,0.5255
20,1000,0.5165
20,1000,0.5185
20,1000,0.525
20,1000,0.518
20,1000,0.5275
20,1000,0.528
20,1000,0.5225
20,1000,0.526
20,1000,0.522
20,1000,0.5195
30,1000,1.721999
30,1000,1.7215
30,1000,1.728
30,1000,1.722
30,1000,1.7285
30,1000,1.744499
30,1000,1.71
30,1000,1.738001
30,1000,1.728
30,1000,1.743499
30,1000,1.736001
30,1000,1.7365
30,1000,1.722499
30,1000,1.728501
30,1000,1.7435
30,1000,1.736
30,1000,1.718657
30,1000,1.729501
30,1000,1.736
30,1000,1.7315
30,1000,1.721
30,1000,1.727
30,1000,1.772502
30,1000,1.743499
30,1000,1.743
30,1000,1.7375
30,1000,1.733999
30,1000,1.728499
30,1000,1.7085
30,1000,1.737
40,1000,4.0385
40,1000,4.080001
40,1000,4.079999
40,1000,4.0495
40,1000,4.075
40,1000,4.031
40,1000,4.052501
40,1000,4.068
40,1000,4.065
40,1000,4.055999
40,1000,4.035501
40,1000,4.072499
40,1000,4.061501
40,1000,4.0655
40,1000,4.0625
40,1000,4.086
40,1000,4.0545
40,1000,4.0495
40,1000,4.056
40,1000,4.0665
40,1000,4.0535
40,1000,4.0435
40,1000,4.0355
40,1000,4.071
40,1000,4.053501
40,1000,4.045999
40,1000,4.0535
40,1000,4.0685
40,1000,4.048
40,1000,4.034
50,1000,7.934
50,1000,7.8715
50,1000,7.9255
50,1000,7.8855
50,1000,7.877499
50,1000,7.884
50,1000,7.926996
50,1000,7.945499
50,1000,7.915
50,1000,7.8655
50,1000,7.872501
50,1000,7.8925
50,1000,7.8905
50,1000,7.898
50,1000,7.852501
50,1000,7.895999
50,1000,7.872501
50,1000,8.011
50,1000,7.9085
50,1000,7.8625
50,1000,7.929499
50,1000,7.924999
50,1000,7.8965
50,1000,7.930499
50,1000,7.9155
50,1000,7.9265
50,1000,7.9065
50,1000,7.921
50,1000,7.934499
50,1000,7.906001
100,1000,64.778
100,1000,64.191499
100,1000,64.480499
100,1000,64.5855
100,1000,65.063999
100,1000,64.979002
100,1000,64.454
100,1000,65.033501
100,1000,64.7445
100,1000,64.611501
100,1000,64.536999
100,1000,65.106001
100,1000,64.643
100,1000,64.902
100,1000,64.719
100,1000,65.088999
100,1000,64.8725
100,1000,64.747
100,1000,64.8025
100,1000,64.780001
100,1000,64.575389
100,1000,65.009999
100,1000,64.934
100,1000,65.137001
100,1000,65.077501
100,1000,65.031001
100,1000,65.195499
100,1000,65.392
100,1000,65.279001
100,1000,65.1905
200,1000,546.596
200,1000,515.483001
200,1000,513.316001
200,1000,548.7335
200,1000,518.635501
200,1000,527.034001
200,1000,520.0045
200,1000,526.881001
200,1000,528.753501
200,1000,518.864
200,1000,528.977001
200,1000,527.417501
200,1000,521.573
200,1000,529.676502
200,1000,525.1525
200,1000,523.3535
200,1000,529.436499
200,1000,523.668002
200,1000,521.408
200,1000,525.847001
200,1000,525.923501
200,1000,523.2805
200,1000,526.556002
200,1000,530.541998
200,1000,521.234001
200,1000,530.6115
200,1000,532.004
