Dimension,Power,Time,Optimization
50,100,0.025746,Ofast
50,100,0.025973,Ofast
50,100,0.026093,Ofast
50,100,0.026457,Ofast
50,100,0.026497,Ofast
50,100,0.026157,Ofast
50,100,0.026041,Ofast
50,100,0.026599,Ofast
50,100,0.026273,Ofast
50,100,0.026403,Ofast
50,100,0.026517,Ofast
50,100,0.026407,Ofast
50,100,0.026074,Ofast
50,100,0.025804,Ofast
50,100,0.025977,Ofast
50,100,0.026207,Ofast
50,100,0.026451,Ofast
50,100,0.026044,Ofast
50,100,0.026067,Ofast
50,100,0.025998,Ofast
50,100,0.025637,Ofast
50,100,0.026058,Ofast
50,100,0.026613,Ofast
50,100,0.026500,Ofast
50,100,0.026391,Ofast
50,100,0.026451,Ofast
50,100,0.025629,Ofast
50,100,0.026048,Ofast
50,100,0.026352,Ofast
50,100,0.026669,Ofast
50,200,0.051805,Ofast
50,200,0.052206,Ofast
50,200,0.051560,Ofast
50,200,0.051901,Ofast
50,200,0.051342,Ofast
50,200,0.052325,Ofast
50,200,0.052504,Ofast
50,200,0.051944,Ofast
50,200,0.052186,Ofast
50,200,0.051688,Ofast
50,200,0.052355,Ofast
50,200,0.051734,Ofast
50,200,0.052325,Ofast
50,200,0.051912,Ofast
50,200,0.052742,Ofast
50,200,0.051645,Ofast
50,200,0.051917,Ofast
50,200,0.051823,Ofast
50,200,0.051745,Ofast
50,200,0.055401,Ofast
50,200,0.053058,Ofast
50,200,0.051947,Ofast
50,200,0.052276,Ofast
50,200,0.052016,Ofast
50,200,0.051622,Ofast
50,200,0.051643,Ofast
50,200,0.052737,Ofast
50,200,0.052314,Ofast
50,200,0.052186,Ofast
50,200,0.051857,Ofast
50,300,0.077793,Ofast
50,300,0.077235,Ofast
50,300,0.077500,Ofast
50,300,0.077815,Ofast
50,300,0.077409,Ofast
50,300,0.077133,Ofast
50,300,0.077368,Ofast
50,300,0.077798,Ofast
50,300,0.078041,Ofast
50,300,0.077056,Ofast
50,300,0.078457,Ofast
50,300,0.078167,Ofast
50,300,0.078028,Ofast
50,300,0.077616,Ofast
50,300,0.077943,Ofast
50,300,0.077268,Ofast
50,300,0.077643,Ofast
50,300,0.077309,Ofast
50,300,0.077673,Ofast
50,300,0.077606,Ofast
50,300,0.077688,Ofast
50,300,0.078091,Ofast
50,300,0.077896,Ofast
50,300,0.077562,Ofast
50,300,0.078734,Ofast
50,300,0.077554,Ofast
50,300,0.077752,Ofast
50,300,0.077189,Ofast
50,300,0.078045,Ofast
50,300,0.078302,Ofast
50,400,0.103243,Ofast
50,400,0.103297,Ofast
50,400,0.102824,Ofast
50,400,0.103269,Ofast
50,400,0.103597,Ofast
50,400,0.103835,Ofast
50,400,0.103261,Ofast
50,400,0.102631,Ofast
50,400,0.103531,Ofast
50,400,0.103679,Ofast
50,400,0.103531,Ofast
50,400,0.103505,Ofast
50,400,0.103859,Ofast
50,400,0.103094,Ofast
50,400,0.102702,Ofast
50,400,0.105141,Ofast
50,400,0.102967,Ofast
50,400,0.102575,Ofast
50,400,0.104265,Ofast
50,400,0.102778,Ofast
50,400,0.103060,Ofast
50,400,0.103353,Ofast
50,400,0.103580,Ofast
50,400,0.103675,Ofast
50,400,0.103165,Ofast
50,400,0.102653,Ofast
50,400,0.103317,Ofast
50,400,0.102963,Ofast
50,400,0.103535,Ofast
50,400,0.103065,Ofast
50,500,0.129919,Ofast
50,500,0.128548,Ofast
50,500,0.128590,Ofast
50,500,0.128072,Ofast
50,500,0.129301,Ofast
50,500,0.128624,Ofast
50,500,0.128633,Ofast
50,500,0.129135,Ofast
50,500,0.128991,Ofast
50,500,0.129133,Ofast
50,500,0.128730,Ofast
50,500,0.128246,Ofast
50,500,0.128600,Ofast
50,500,0.128511,Ofast
50,500,0.129414,Ofast
50,500,0.128947,Ofast
50,500,0.128367,Ofast
50,500,0.128125,Ofast
50,500,0.129027,Ofast
50,500,0.129063,Ofast
50,500,0.128432,Ofast
50,500,0.127933,Ofast
50,500,0.128728,Ofast
50,500,0.128685,Ofast
50,500,0.128277,Ofast
50,500,0.128615,Ofast
50,500,0.129041,Ofast
50,500,0.128728,Ofast
50,500,0.128613,Ofast
50,500,0.129136,Ofast
50,600,0.153538,Ofast
50,600,0.153916,Ofast
50,600,0.154550,Ofast
50,600,0.154881,Ofast
50,600,0.154565,Ofast
50,600,0.155153,Ofast
50,600,0.154387,Ofast
50,600,0.154302,Ofast
50,600,0.153762,Ofast
50,600,0.154446,Ofast
50,600,0.156345,Ofast
50,600,0.154632,Ofast
50,600,0.154001,Ofast
50,600,0.155145,Ofast
50,600,0.154704,Ofast
50,600,0.154763,Ofast
50,600,0.154301,Ofast
50,600,0.154225,Ofast
50,600,0.154910,Ofast
50,600,0.153761,Ofast
50,600,0.154183,Ofast
50,600,0.154238,Ofast
50,600,0.154029,Ofast
50,600,0.154085,Ofast
50,600,0.154047,Ofast
50,600,0.155208,Ofast
50,600,0.153820,Ofast
50,600,0.154437,Ofast
50,600,0.154071,Ofast
50,600,0.155185,Ofast
50,700,0.178984,Ofast
50,700,0.179994,Ofast
50,700,0.179716,Ofast
50,700,0.179902,Ofast
50,700,0.179955,Ofast
50,700,0.179517,Ofast
50,700,0.179860,Ofast
50,700,0.178961,Ofast
50,700,0.179886,Ofast
50,700,0.180225,Ofast
50,700,0.179781,Ofast
50,700,0.179711,Ofast
50,700,0.180508,Ofast
50,700,0.178952,Ofast
50,700,0.179313,Ofast
50,700,0.180151,Ofast
50,700,0.182365,Ofast
50,700,0.180160,Ofast
50,700,0.180851,Ofast
50,700,0.180547,Ofast
50,700,0.179618,Ofast
50,700,0.179555,Ofast
50,700,0.179326,Ofast
50,700,0.179564,Ofast
50,700,0.179809,Ofast
50,700,0.179249,Ofast
50,700,0.180829,Ofast
50,700,0.179365,Ofast
50,700,0.180051,Ofast
50,700,0.181249,Ofast
50,800,0.204969,Ofast
50,800,0.205482,Ofast
50,800,0.206091,Ofast
50,800,0.205549,Ofast
50,800,0.205269,Ofast
50,800,0.206044,Ofast
50,800,0.204916,Ofast
50,800,0.205475,Ofast
50,800,0.206259,Ofast
50,800,0.205007,Ofast
50,800,0.205336,Ofast
50,800,0.205110,Ofast
50,800,0.205095,Ofast
50,800,0.205340,Ofast
50,800,0.205691,Ofast
50,800,0.204468,Ofast
50,800,0.204797,Ofast
50,800,0.206282,Ofast
50,800,0.204762,Ofast
50,800,0.205821,Ofast
50,800,0.205833,Ofast
50,800,0.204694,Ofast
50,800,0.204605,Ofast
50,800,0.206144,Ofast
50,800,0.205088,Ofast
50,800,0.204681,Ofast
