id,Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,Class
1206,33006,710.496,283.0203847,149.6237186,1.891547593,0.848828915,33354,204.9988888,0.635476232,0.989566469,0.821636048,0.724325525,HOROZ
1207,33263,719.325,271.3390351,158.5661122,1.711204439,0.811477467,34108,205.7954494,0.672740879,0.975225753,0.807831848,0.758443949,HOROZ
1208,33407,706.222,281.5352959,152.7419055,1.843209268,0.840035139,33989,206.2404264,0.809866667,0.982876813,0.841714592,0.732556199,HOROZ
1209,33518,702.956,277.5713992,154.3055806,1.798842259,0.831240405,34023,206.5827753,0.808383378,0.9851571,0.852376909,0.744250942,HOROZ
1210,33518,702.956,277.5713992,154.3055806,1.798842259,0.831240405,34023,206.5827753,0.808383378,0.9851571,0.852376909,0.744250942,HOROZ
1211,33556,689.294,264.6307432,161.7054714,1.636498387,0.791583671,33892,206.6998456,0.774071511,0.990086156,0.887505501,0.781087802,HOROZ
1212,33927,709.639,285.8833083,152.4196982,1.875632294,0.846018499,34358,207.8393563,0.756050274,0.987455614,0.84660411,0.727007665,HOROZ
1213,33954,716.75,277.3684803,156.3563259,1.773951126,0.825970469,34420,207.9220419,0.799481987,0.98646136,0.830549278,0.7496239,HOROZ
1214,33954,716.75,277.3684803,156.3563259,1.773951126,0.825970469,34420,207.9220419,0.799481987,0.98646136,0.830549278,0.7496239,HOROZ
1215,34165,693.307,272.1493592,160.5025147,1.69560807,0.807579349,34437,208.5670852,0.772614202,0.992101519,0.893182322,0.76636993,HOROZ
1216,34196,690.131,264.9295953,165.7880877,1.598001394,0.779998261,34639,208.6616866,0.75156044,0.987210947,0.902240048,0.787611842,HOROZ
1217,34232,744.329,296.9731539,148.1674838,2.004307195,0.86664487,34936,208.7714925,0.604602695,0.979848866,0.776447789,0.702997863,HOROZ
1218,34377,736.459,298.0691187,148.8949001,2.001875943,0.86629575,34990,209.2131827,0.703855367,0.982480709,0.796490665,0.701894861,HOROZ
1219,34414,707.737,276.4939671,160.5266301,1.722418062,0.81420382,34773,209.3257406,0.634195784,0.989675898,0.863378475,0.757071638,HOROZ
1220,34586,727.413,283.5392693,156.5358447,1.811337651,0.833792348,35278,209.8481901,0.687608104,0.980384376,0.821387491,0.74010274,HOROZ
1221,34952,707.965,272.4792931,163.7276213,1.664223122,0.799338516,35404,210.955608,0.692173638,0.987233081,0.876311115,0.774207851,HOROZ
1222,35139,733.998,292.6114961,154.7210779,1.891219348,0.84877176,35769,211.519182,0.641409901,0.982386983,0.819614266,0.722866958,HOROZ
1223,35255,717.672,268.1334659,169.1690742,1.585002857,0.775853025,35860,211.8680253,0.684656167,0.983128834,0.860158683,0.790158828,HOROZ
1224,35464,741.988,278.138932,163.9807355,1.69616834,0.807721576,36088,212.4950993,0.822182037,0.982708934,0.809475706,0.763989053,HOROZ
1225,35512,740.643,294.1826768,154.5956906,1.902916411,0.850787944,35978,212.6388551,0.72209683,0.98704764,0.813517971,0.722812293,HOROZ
1226,35755,756.893,306.6087821,149.3572951,2.052854411,0.873331364,36384,213.3651329,0.779315606,0.982712181,0.78429179,0.69588722,HOROZ
1227,35798,743.142,295.1079192,156.380855,1.887110281,0.848053424,36549,213.4933939,0.728608646,0.979452242,0.814563628,0.723441765,HOROZ
1228,35869,705.532,264.8164878,172.8495435,1.532063565,0.757604032,36265,213.7050052,0.70792216,0.989080381,0.905515107,0.806992823,HOROZ
1229,36143,736.997,299.8903167,154.194303,1.944885841,0.857688897,36592,214.5196888,0.761980056,0.987729558,0.83618548,0.715327161,HOROZ
1230,36458,731.111,283.698962,164.9206882,1.720214517,0.813672998,36979,215.4524711,0.679223489,0.985910922,0.857109025,0.759440463,HOROZ
1231,36500,742.992,295.8043238,158.5295194,1.865925822,0.844264335,37093,215.5765372,0.745506536,0.984013156,0.83087263,0.728780886,HOROZ
1232,36584,731.806,293.1392521,159.4393493,1.838562773,0.839148028,37023,215.8244553,0.704975527,0.988142506,0.858438369,0.736252323,HOROZ
1233,36609,748.431,305.3024338,153.2388004,1.992331139,0.864911383,36969,215.8981855,0.636235662,0.990262111,0.821285574,0.707161692,HOROZ
1234,36718,727.659,271.1585016,172.824467,1.568982138,0.770569578,37285,216.2193553,0.788786251,0.984792812,0.871431132,0.797391024,HOROZ
1235,36799,759.261,300.6202949,157.2337118,1.911932826,0.852313703,37393,216.4577141,0.711352961,0.984114674,0.802164976,0.72003693,HOROZ
1236,37039,747.615,301.8019516,156.9820182,1.922525618,0.854075464,37726,217.1624265,0.760929411,0.981789747,0.832747052,0.719552758,HOROZ
1237,37089,759.483,304.3769382,156.3433159,1.946849704,0.857999612,37537,217.308954,0.675032761,0.988065109,0.808013978,0.713946843,HOROZ
1238,37430,748.578,299.0563374,160.7345419,1.860560486,0.84328131,37902,218.3056485,0.661400905,0.987546831,0.839374115,0.729981683,HOROZ
1239,37454,772.679,297.6274753,162.1493177,1.835514817,0.838561934,38113,218.3756257,0.801669521,0.982709312,0.788333264,0.733721326,HOROZ
1240,37471,763.682,314.3678155,152.4385579,2.062259181,0.874566773,38008,218.4251794,0.624017453,0.985871395,0.807383814,0.694807702,HOROZ
1241,37503,766.505,308.1607301,155.3628758,1.983490126,0.863609203,38070,218.5184263,0.676949458,0.985106383,0.802132087,0.709105363,HOROZ
1242,37600,749.282,299.1671654,161.1116364,1.856893594,0.842603896,38280,218.8008384,0.678210678,0.982236155,0.84160268,0.731366486,HOROZ
1243,37736,791.577,297.3898936,165.7508975,1.794197787,0.830276205,38887,219.1961849,0.79687467,0.970401419,0.756796985,0.737066691,HOROZ
1244,37776,727.307,283.0718569,170.4841003,1.660400333,0.798296687,38194,219.3123276,0.748054417,0.989055873,0.897408748,0.774758501,HOROZ
1245,37781,738.792,283.2345962,170.2064106,1.664065386,0.799295696,38242,219.3268411,0.729362934,0.987945191,0.869839138,0.774364587,HOROZ
1246,37789,766.378,313.5680678,154.3409867,2.031657789,0.870477123,38251,219.3500608,0.780587057,0.987921884,0.808517092,0.699529331,HOROZ
1247,37972,778.569,317.1403375,153.9093843,2.060565306,0.874345643,38615,219.8805403,0.602806706,0.98334844,0.787189189,0.693322527,HOROZ
1248,38060,755.921,304.4258079,159.3401004,1.910541083,0.852079779,38480,220.1351791,0.702940307,0.989085239,0.837000711,0.723116022,HOROZ
1249,38110,861.568,310.1777403,157.4886783,1.969524055,0.861512194,39200,220.2797291,0.643924034,0.972193878,0.645163356,0.71017259,HOROZ
1250,38253,754.503,292.3137852,167.5594087,1.744538176,0.819403182,38857,220.6926195,0.808560558,0.984455825,0.844410107,0.75498533,HOROZ
1251,38294,771.058,306.0067702,160.3861358,1.907937795,0.851640669,38844,220.8108583,0.827191429,0.985840799,0.809406154,0.721588147,HOROZ
1252,38427,756.323,306.5338861,160.5917844,1.908776886,0.851782424,38773,221.1939782,0.796976108,0.991076264,0.844173528,0.721597149,HOROZ
1253,38427,756.323,306.5338861,160.5917844,1.908776886,0.851782424,38773,221.1939782,0.796976108,0.991076264,0.844173528,0.721597149,HOROZ
1254,38470,762.336,304.5889469,162.0116492,1.880043493,0.846805548,38914,221.3177022,0.801825837,0.988590225,0.831838836,0.726611075,HOROZ
1255,38532,775.776,316.7127725,155.3148449,2.039166139,0.871499422,39015,221.4959732,0.675005255,0.987620146,0.804560554,0.699359143,HOROZ
1256,38637,771.623,315.0881849,156.7460168,2.010183043,0.867482824,39096,221.797557,0.605216165,0.988259669,0.815460508,0.703922164,HOROZ
1257,38833,768.636,299.9610879,166.7458641,1.798911712,0.831254758,39550,222.3594191,0.790413189,0.981871049,0.825979682,0.741294215,HOROZ
1258,38891,791.343,319.4999963,156.8696185,2.036723231,0.87116818,39651,222.5254123,0.650025071,0.980832766,0.780421893,0.696480172,HOROZ
1259,38891,791.343,319.4999963,156.8696185,2.036723231,0.87116818,39651,222.5254123,0.650025071,0.980832766,0.780421893,0.696480172,HOROZ
1260,38970,770.803,314.1828398,158.6797489,1.979980697,0.86308691,39358,222.7513076,0.630276565,0.990141775,0.824239602,0.708986232,HOROZ
1261,39158,742.484,281.3341448,178.5597857,1.575573938,0.772767383,39590,223.2879623,0.69429078,0.989088154,0.89259853,0.793675302,HOROZ
1262,39202,792.773,321.8306469,158.0305092,2.036509586,0.871139148,40240,223.4133761,0.662531688,0.974204771,0.783827303,0.694195467,HOROZ
1263,39211,771.196,315.4782466,158.8206555,1.986380458,0.864037046,39693,223.4390203,0.702517244,0.987856801,0.82849186,0.70825492,HOROZ
1264,39377,777.438,312.4027624,161.8858003,1.92977248,0.855262012,39983,223.911486,0.741409501,0.984843559,0.818692781,0.716739776,HOROZ
1265,39407,778.877,309.9389373,164.1539185,1.888099536,0.848226848,40004,223.996765,0.732363217,0.985076492,0.816291885,0.722712567,HOROZ
1266,39441,762.355,298.8360953,169.1584032,1.766605085,0.824365783,39892,224.0933754,0.693797495,0.988694475,0.85279231,0.749887242,HOROZ
1267,39474,778.662,314.8992903,160.743702,1.959014794,0.859901103,39998,224.1871044,0.604743083,0.986899345,0.818131358,0.711932708,HOROZ
1268,39539,798.227,317.2686272,161.3747082,1.966036876,0.860980799,40420,224.3716077,0.589430531,0.978203859,0.779799079,0.707197588,HOROZ
1269,39557,765.521,303.6402703,167.2081587,1.815941714,0.834717452,40200,224.4226741,0.812675912,0.984004975,0.848240479,0.739107082,HOROZ
1270,39596,789.504,318.047727,159.8525261,1.989632162,0.864515902,40203,224.5332782,0.658462766,0.984901624,0.798274966,0.705973535,HOROZ
1271,39623,764.058,289.4156804,176.0836099,1.64362646,0.793622306,40333,224.6098183,0.695506407,0.982396549,0.852912666,0.776080335,HOROZ
1272,39649,791.745,308.2641445,165.5534903,1.862021416,0.843549934,40470,224.683499,0.683674173,0.979713368,0.794824862,0.728866795,HOROZ
1273,39657,798.425,331.2468658,152.89654,2.166477186,0.887099197,40152,224.7061651,0.789665472,0.987671847,0.781738439,0.678364653,HOROZ
