id,Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,Class
1,28395,610.291,208.1781167,173.888747,1.197191424,0.549812187,28715,190.1410973,0.763922518,0.988855999,0.958027126,0.913357755,SEKER
2,28734,638.018,200.5247957,182.7344194,1.097356461,0.411785251,29172,191.2727505,0.783968133,0.984985603,0.887033637,0.953860842,SEKER
3,29380,624.11,212.8261299,175.9311426,1.209712656,0.562727317,29690,193.4109041,0.778113248,0.989558774,0.947849473,0.908774239,SEKER
4,30008,645.884,210.557999,182.5165157,1.153638059,0.498615976,30724,195.4670618,0.782681273,0.976695743,0.903936374,0.928328835,SEKER
5,30140,620.134,201.8478822,190.2792788,1.06079802,0.333679658,30417,195.896503,0.773098035,0.99089325,0.984877069,0.970515523,SEKER
6,30279,634.927,212.5605564,181.5101816,1.171066849,0.52040066,30600,196.3477022,0.775688485,0.989509804,0.943851783,0.923725952,SEKER
7,30477,670.033,211.0501553,184.0390501,1.146768336,0.489477894,30970,196.9886332,0.762401501,0.984081369,0.853079869,0.933373552,SEKER
8,30519,629.727,212.9967551,182.7372038,1.165590535,0.513759558,30847,197.1243203,0.770681818,0.989366875,0.967109244,0.925480392,SEKER
9,30685,635.681,213.5341452,183.1571463,1.165852108,0.51408086,31044,197.659696,0.771561479,0.988435769,0.954239808,0.925658498,SEKER
10,30834,631.934,217.2278128,180.8974686,1.2008339,0.553642225,31120,198.1390121,0.783682806,0.990809769,0.97027823,0.91212543,SEKER
11,30917,640.765,213.5600894,184.4398709,1.157884618,0.504102365,31280,198.4055115,0.770805285,0.988395141,0.94625818,0.929038343,SEKER
12,31091,638.558,210.4862549,188.3268476,1.117664622,0.446621924,31458,198.9630385,0.786377317,0.988333651,0.958172836,0.945254305,SEKER
13,31107,640.594,214.6485485,184.9692526,1.160455295,0.507365875,31423,199.0142269,0.761046142,0.989943672,0.952581757,0.927163162,SEKER
14,31158,642.626,216.4848362,183.6443122,1.178826797,0.529514251,31492,199.1773023,0.798759229,0.989394132,0.948119004,0.92005198,SEKER
15,31158,641.105,212.0669751,187.1929601,1.132879009,0.469924157,31474,199.1773023,0.781313473,0.989959967,0.952623101,0.939218858,SEKER
16,31178,636.888,212.9759252,186.5620882,1.141582018,0.482352224,31520,199.2412169,0.764110482,0.989149746,0.965899596,0.935510513,SEKER
17,31202,644.454,215.6406947,184.4716842,1.168963657,0.517871223,31573,199.3178875,0.779192888,0.988249454,0.944079243,0.924305534,SEKER
18,31203,639.782,215.067737,184.8748759,1.163315112,0.510946829,31558,199.3210815,0.762984155,0.988750871,0.957948542,0.926782809,SEKER
19,31272,638.666,212.4503189,187.535939,1.132851229,0.469883494,31593,199.5413417,0.770322199,0.989839521,0.963425036,0.939237666,SEKER
20,31335,635.011,216.7900923,184.1634403,1.177161395,0.52758671,31599,199.7422367,0.774277242,0.991645305,0.976510834,0.921362386,SEKER
21,31374,636.401,219.865394,182.0088637,1.207992784,0.56099452,31604,199.8664991,0.769196823,0.99272244,0.973459862,0.909040279,SEKER
22,31530,638.857,213.7856543,188.0664823,1.136755746,0.475535642,31791,200.3627781,0.768949371,0.991790129,0.970792739,0.937213391,SEKER
23,31573,674.103,217.3070261,185.4482507,1.171793345,0.52126839,32197,200.499357,0.756964757,0.980619312,0.873118507,0.922654737,SEKER
24,31637,656.711,229.7192546,175.510446,1.308863717,0.645190802,32045,200.702465,0.761823348,0.987267905,0.921842182,0.873685862,SEKER
25,31675,657.431,236.7526321,171.2105592,1.3828156,0.690678219,32009,200.8229633,0.740935673,0.989565435,0.92092896,0.848239622,SEKER
