id,Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,Class
1507,31519,676.641,255.0735621,157.80274,1.616407689,0.785662138,32065,200.3278244,0.758032708,0.982972088,0.865098731,0.785372748,SIRA
1508,31751,671.914,244.102719,168.5224911,1.448487483,0.723451399,32462,201.0637431,0.69428409,0.978097468,0.883771295,0.82368498,SIRA
1509,32857,668.106,233.8049677,179.500919,1.30252797,0.640764092,33185,204.535649,0.775569456,0.990116016,0.925011278,0.874813102,SIRA
1510,33180,670.488,240.9695005,175.6450402,1.371911784,0.684609702,33564,205.5385319,0.774835365,0.988559171,0.927479302,0.852964925,SIRA
1511,33206,680.423,260.0898266,163.1027196,1.594638197,0.778937554,33583,205.6190466,0.752663312,0.988774082,0.901298102,0.790569355,SIRA
1512,33318,688.874,257.4648986,165.036857,1.560044849,0.767534855,33692,205.9655193,0.698695634,0.988899442,0.88228562,0.799975144,SIRA
1513,33462,689.937,265.4699791,161.0284951,1.648590077,0.795023273,33812,206.4101297,0.827284415,0.989648645,0.88337049,0.777527201,SIRA
1514,33493,683.487,252.7723761,169.4350399,1.491854201,0.742084098,34040,206.5057192,0.799451008,0.98393067,0.900955615,0.81696316,SIRA
1515,33540,697.714,257.4891433,166.5592919,1.545930823,0.762609219,34165,206.6505609,0.72522055,0.981706425,0.865800929,0.802560288,SIRA
1516,33587,672.575,240.3770452,178.6807736,1.34528769,0.668918861,34033,206.7953012,0.73419022,0.986895072,0.933038657,0.860295545,SIRA
1517,33605,687.194,259.0547378,165.8371507,1.562103164,0.768239458,34047,206.8507068,0.76618787,0.987017946,0.894241964,0.798482624,SIRA
1518,33634,670.53,242.6749657,176.8391369,1.372292186,0.684824768,34002,206.9399402,0.797524482,0.989177107,0.940052172,0.852745316,SIRA
1519,33680,683.09,256.203255,167.9334938,1.525623324,0.755221394,34019,207.081404,0.80680321,0.99003498,0.907039273,0.808269996,SIRA
1520,33739,686.903,255.8043441,168.5926382,1.517292492,0.752082735,34101,207.2627053,0.771353452,0.989384476,0.898568612,0.810239193,SIRA
1521,33885,680.022,245.4253999,176.3160798,1.391962662,0.695619842,34281,207.7106689,0.811422414,0.988448412,0.92081297,0.846329145,SIRA
1522,34031,691.801,265.5715834,163.6202104,1.623097677,0.787663356,34420,208.1576685,0.740738322,0.988698431,0.893556882,0.783810022,SIRA
1523,34099,670.159,237.7722053,183.2249309,1.297706618,0.637330955,34376,208.3655327,0.800671551,0.991942053,0.954104179,0.87632418,SIRA
1524,34112,693.8,258.1399044,168.6966258,1.530201942,0.756919163,34507,208.4052479,0.777747378,0.988553047,0.890529798,0.807334489,SIRA
1525,34146,789.379,247.6608668,176.137973,1.406061752,0.702983339,34931,208.5090825,0.762664165,0.977527125,0.688618305,0.841913723,SIRA
1526,34189,687.252,249.0621247,174.9936597,1.423263706,0.711574669,34559,208.6403288,0.730066197,0.989293672,0.909628874,0.837703963,SIRA
1527,34238,698.847,255.8292238,170.8670985,1.497240991,0.744255376,34724,208.7897879,0.724889905,0.986003917,0.880955642,0.816129544,SIRA
1528,34242,682.082,247.6193769,177.0846476,1.398310809,0.698972458,34685,208.8019839,0.824710983,0.987227908,0.924902194,0.84323766,SIRA
1529,34459,698.401,254.0993138,173.0599093,1.468273702,0.732216518,35078,209.4625539,0.752544224,0.982353612,0.887774832,0.82433341,SIRA
1530,34593,697.522,259.7300932,170.1627664,1.526362663,0.755496838,35028,209.8694251,0.767369122,0.987581363,0.893474724,0.808028914,SIRA
1531,34645,702.351,259.1623421,171.4586651,1.511514988,0.749867638,35144,210.0271031,0.772877348,0.985801275,0.882555487,0.81040749,SIRA
1532,34663,691.502,252.5251606,175.3797061,1.439876746,0.719488949,35079,210.0816564,0.777964808,0.988141053,0.910938652,0.831923662,SIRA
1533,34668,704.917,268.2745335,166.9007759,1.607389373,0.782916503,35416,210.0968075,0.747670807,0.978879602,0.876723572,0.783141079,SIRA
1534,34717,700.168,262.5162029,168.8110526,1.555088952,0.765824168,35181,210.2452313,0.815527367,0.986811063,0.889912971,0.80088478,SIRA
1535,34783,724.442,252.1944891,175.8885352,1.433831312,0.716650856,35370,210.4449835,0.769518373,0.983404015,0.832855502,0.834455123,SIRA
1536,34825,704.926,264.593648,168.2855608,1.572289665,0.771676595,35221,210.5719999,0.716962098,0.988756708,0.880671477,0.795831652,SIRA
1537,34862,702.718,264.0184917,168.7377813,1.564667318,0.769112436,35381,210.6838319,0.732148858,0.98533111,0.887156025,0.797988923,SIRA
1538,34892,710.337,273.7491085,163.0004469,1.679437779,0.803401735,35261,210.7744629,0.680753097,0.989535181,0.868974144,0.769954883,SIRA
1539,34894,707.258,264.3841713,168.9600431,1.564773342,0.769148419,35522,210.7805035,0.715686275,0.982320815,0.876606898,0.797250843,SIRA
1540,34942,701.872,250.9163364,178.0581443,1.409182025,0.704572983,35396,210.925428,0.786503703,0.987173692,0.8913367,0.840620547,SIRA
1541,34990,700.748,257.018073,174.0215042,1.476932832,0.735910467,35507,211.0702529,0.768335529,0.985439491,0.895426767,0.82122728,SIRA
1542,35077,707.652,261.0852171,172.9925206,1.509228354,0.748982079,35566,211.3324952,0.785880719,0.986250914,0.880223238,0.809438763,SIRA
1543,35129,703.253,268.4473909,167.1702673,1.605832157,0.782436731,35497,211.4890824,0.814453306,0.989632927,0.892590919,0.787823199,SIRA
1544,35135,692.108,253.0996749,176.9096429,1.430672013,0.715148816,35530,211.5071427,0.775829708,0.988882634,0.92172652,0.835667382,SIRA
1545,35152,711.89,265.1925197,169.6885131,1.562819515,0.768483875,35769,211.5583051,0.693415394,0.982750426,0.871633912,0.797753667,SIRA
1546,35215,711.318,269.1178308,167.0956931,1.610561144,0.78388851,35600,211.7477994,0.765244035,0.989185393,0.874600979,0.786821887,SIRA
1547,35249,706.381,272.6598718,165.2835727,1.649648948,0.795320184,35703,211.8499958,0.751609877,0.987283982,0.8877254,0.776975337,SIRA
1548,35291,723.178,276.2396963,163.1613077,1.693046593,0.806926986,35849,211.9761703,0.71922638,0.984434712,0.847975719,0.767363175,SIRA
1549,35380,697.382,255.5805925,176.7753124,1.445793471,0.722221617,35828,212.2432922,0.801467923,0.987495813,0.914168443,0.830435872,SIRA
1550,35444,716.279,268.0805534,169.8239972,1.578578751,0.773758062,35949,212.4351723,0.736881497,0.985952321,0.868136777,0.792430371,SIRA
1551,35468,711.867,273.1429586,165.9725366,1.64571178,0.794212727,35914,212.5070826,0.690361258,0.987581445,0.879526324,0.778006813,SIRA
1552,35476,711.317,266.8508275,169.9283492,1.570372623,0.771036014,36062,212.5310474,0.775499497,0.983750208,0.881085662,0.796441403,SIRA
1553,35506,713.086,262.1062149,173.2478277,1.512897555,0.750400622,35941,212.620891,0.760918949,0.987896831,0.877460939,0.811201257,SIRA
1554,35561,708.141,259.7683482,174.8105517,1.485999247,0.739689928,36021,212.7855057,0.793648314,0.987229672,0.89113674,0.819135615,SIRA
1555,35570,710.53,263.2603831,173.378732,1.518412207,0.752508363,36054,212.8124306,0.789286824,0.986575692,0.885378334,0.808372411,SIRA
1556,35633,712.676,262.5884816,173.4937258,1.513533013,0.750644977,36022,213.0008091,0.694979716,0.989201044,0.881612997,0.811158234,SIRA
1557,35640,688.039,254.5170737,178.7279813,1.424047157,0.711956139,36020,213.0217298,0.777894185,0.989450305,0.946066027,0.8369644,SIRA
1558,35734,704.049,255.609616,178.9039583,1.428753273,0.71423016,36235,213.3024657,0.718704747,0.986173589,0.905911401,0.834485295,SIRA
1559,35791,710.277,262.4779118,174.1044267,1.507588962,0.748344051,36211,213.4725194,0.71092881,0.988401315,0.891514053,0.813297081,SIRA
1560,35815,713.667,269.7371754,169.9114488,1.587516187,0.776664212,36226,213.5440804,0.726971948,0.988654558,0.883656728,0.791674637,SIRA
1561,35827,703.778,269.6084179,169.4919236,1.590685928,0.777680584,36164,213.579852,0.740349645,0.990681341,0.908968712,0.792185399,SIRA
1562,35867,709.926,263.9178839,173.2989923,1.522904897,0.754204312,36262,213.6990471,0.788476335,0.989107054,0.89429078,0.809717947,SIRA
1563,35889,715.89,271.930781,168.974303,1.609302576,0.783503647,36306,213.7645762,0.788959968,0.988514295,0.879991809,0.786099225,SIRA
1564,35906,708.182,265.8057944,172.462698,1.541236438,0.760933637,36238,213.8151985,0.810921903,0.990838346,0.899678045,0.804403828,SIRA
