VisCanvas Save File Format,,Extent,ShapeFactor4,Solidity,Perimeter,Area,ConvexArea,EquivDiameter,roundness,MajorAxisLength,MinorAxisLength,ShapeFactor1,AspectRation,Eccentricity,Compactness,ShapeFactor3,ShapeFactor2
SEKER,1,0.763923,0.998724,0.988856,610.291,28395,28715,190.141,0.958027,208.178,173.889,0.00733151,1.19719,0.549812,0.913358,0.834222,0.00314729
SEKER,2,0.783968,0.99843,0.984986,638.018,28734,29172,191.273,0.887034,200.525,182.734,0.00697866,1.09736,0.411785,0.953861,0.909851,0.00356362
SEKER,3,0.778113,0.999066,0.989559,624.11,29380,29690,193.411,0.947849,212.826,175.931,0.00724391,1.20971,0.562727,0.908774,0.825871,0.00304773
SEKER,4,0.782681,0.994199,0.976696,645.884,30008,30724,195.467,0.903936,210.558,182.517,0.00701673,1.15364,0.498616,0.928329,0.861794,0.00321456
SEKER,5,0.773098,0.999166,0.990893,620.134,30140,30417,195.897,0.984877,201.848,190.279,0.00669701,1.0608,0.33368,0.970516,0.9419,0.00366497
SEKER,6,0.775688,0.999236,0.98951,634.927,30279,30600,196.348,0.943852,212.561,181.51,0.00702006,1.17107,0.520401,0.923726,0.85327,0.00315278
SEKER,7,0.762402,0.999049,0.984081,670.033,30477,30970,196.989,0.85308,211.05,184.039,0.0069249,1.14677,0.489478,0.933374,0.871186,0.00324202
SEKER,8,0.770682,0.998345,0.989367,629.727,30519,30847,197.124,0.967109,212.997,182.737,0.00697915,1.16559,0.51376,0.92548,0.856514,0.00315828
SEKER,9,0.771561,0.998953,0.988436,635.681,30685,31044,197.66,0.95424,213.534,183.157,0.00695891,1.16585,0.514081,0.925658,0.856844,0.00315155
SEKER,10,0.783683,0.999061,0.99081,631.934,30834,31120,198.139,0.970278,217.228,180.897,0.00704507,1.20083,0.553642,0.912125,0.831973,0.00300804
SEKER,11,0.770805,0.999384,0.988395,640.765,30917,31280,198.406,0.946258,213.56,184.44,0.00690753,1.15788,0.504102,0.929038,0.863112,0.00317422
SEKER,12,0.786377,0.99864,0.988334,638.558,31091,31458,198.963,0.958173,210.486,188.327,0.00677001,1.11766,0.446622,0.945254,0.893506,0.00333398
SEKER,13,0.761046,0.997564,0.989944,640.594,31107,31423,199.014,0.952582,214.649,184.969,0.00690033,1.16046,0.507366,0.927163,0.859632,0.00314539
SEKER,14,0.798759,0.997872,0.989394,642.626,31158,31492,199.177,0.948119,216.485,183.644,0.00694797,1.17883,0.529514,0.920052,0.846496,0.00307105
SEKER,15,0.781313,0.999349,0.98996,641.105,31158,31474,199.177,0.952623,212.067,187.193,0.00680618,1.13288,0.469924,0.939219,0.882132,0.00326701
SEKER,16,0.76411,0.99909,0.98915,636.888,31178,31520,199.241,0.9659,212.976,186.562,0.00683097,1.14158,0.482352,0.935511,0.87518,0.00322743
SEKER,17,0.779193,0.998693,0.988249,644.454,31202,31573,199.318,0.944079,215.641,184.472,0.00691112,1.16896,0.517871,0.924306,0.854341,0.00311165
